aluno_id,nota_periodo_1,nota_periodo_2,nota_final,faltas,tempo_estudo,consumo_alcool_fds,apoio_familia,sexo,idade,prob_risco_%,risco_previsto,risco_real,reprovação,nivel_risco
39,12,12,11,2,3,1,1,F,15,18.4,0,0,0,EXCELENTE - MANTER AUTONOMIA
40,14,13,13,8,1,1,1,F,15,5.9,0,0,0,EXCELENTE - MANTER AUTONOMIA
41,7,10,11,25,2,2,1,F,16,87.5,1,0,1,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
42,12,12,12,8,1,4,1,M,15,0.8,0,0,0,EXCELENTE - MANTER AUTONOMIA
43,19,18,18,2,2,1,1,M,15,0.1,0,0,0,EXCELENTE - MANTER AUTONOMIA
44,8,8,11,0,1,1,1,M,15,24.7,0,0,0,BOM - MONITORIZAÇÃO OCASIONAL
45,10,10,9,14,2,2,0,F,16,30.6,0,1,1,BOM - MONITORIZAÇÃO OCASIONAL
46,8,8,6,8,2,1,1,F,15,76.0,1,1,0,RUIM - PLANO DE RECUPERAÇÃO URGENTE
47,11,12,11,12,2,4,1,F,16,11.5,0,0,0,EXCELENTE - MANTER AUTONOMIA
48,19,19,20,4,4,1,0,M,16,0.0,0,0,0,EXCELENTE - MANTER AUTONOMIA
49,15,15,14,2,2,2,1,M,15,1.6,0,0,0,EXCELENTE - MANTER AUTONOMIA
50,7,7,7,2,2,1,1,F,15,93.5,1,1,1,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
51,12,13,13,2,2,3,1,F,16,4.5,0,0,0,EXCELENTE - MANTER AUTONOMIA
52,11,13,13,2,2,1,1,F,15,8.9,0,0,0,EXCELENTE - MANTER AUTONOMIA
53,11,11,10,6,1,4,0,M,15,7.3,0,0,1,EXCELENTE - MANTER AUTONOMIA
54,8,10,11,0,1,3,1,F,15,18.2,0,0,0,EXCELENTE - MANTER AUTONOMIA
55,10,13,13,6,1,4,0,F,15,0.8,0,0,0,EXCELENTE - MANTER AUTONOMIA
56,8,9,10,8,2,1,0,F,16,35.0,0,0,0,BOM - MONITORIZAÇÃO OCASIONAL
57,14,15,15,0,2,1,1,F,15,0.4,0,0,0,EXCELENTE - MANTER AUTONOMIA
58,14,15,15,4,2,1,1,M,15,2.5,0,0,0,EXCELENTE - MANTER AUTONOMIA
59,9,10,9,2,2,1,1,M,15,27.4,0,1,0,BOM - MONITORIZAÇÃO OCASIONAL
60,15,16,16,2,2,1,1,F,16,1.9,0,0,0,EXCELENTE - MANTER AUTONOMIA
61,10,11,11,6,2,3,1,F,16,83.7,1,0,0,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
62,10,8,11,6,1,5,1,F,16,67.6,1,0,0,RUIM - PLANO DE RECUPERAÇÃO URGENTE
63,8,10,9,4,2,1,0,F,16,69.5,1,1,0,RUIM - PLANO DE RECUPERAÇÃO URGENTE
64,10,9,9,2,3,4,1,F,16,89.6,1,1,0,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
65,10,10,10,0,2,4,0,F,15,55.3,1,0,0,REGULAR - APOIO EXTRA OU TUTORIA
66,16,15,15,2,2,2,1,F,16,0.5,0,0,0,EXCELENTE - MANTER AUTONOMIA
67,13,13,12,4,4,5,1,M,15,0.9,0,0,0,EXCELENTE - MANTER AUTONOMIA
68,7,7,6,4,4,2,1,F,16,90.0,1,1,0,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
69,8,9,8,2,2,3,1,F,15,85.4,1,1,0,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
70,16,16,16,12,4,3,1,F,15,0.9,0,0,0,EXCELENTE - MANTER AUTONOMIA
71,13,15,15,0,4,1,1,M,16,1.3,0,0,0,EXCELENTE - MANTER AUTONOMIA
72,10,10,10,0,4,1,0,M,15,25.6,0,0,0,BOM - MONITORIZAÇÃO OCASIONAL
73,8,6,5,2,2,4,1,F,15,97.7,1,1,2,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
74,12,12,14,2,1,2,0,M,16,5.4,0,0,0,EXCELENTE - MANTER AUTONOMIA
75,11,12,11,54,2,4,1,F,16,31.5,0,0,0,BOM - MONITORIZAÇÃO OCASIONAL
76,9,9,10,6,2,3,1,M,15,62.7,1,0,0,RUIM - PLANO DE RECUPERAÇÃO URGENTE
77,11,11,10,8,4,1,0,M,15,17.1,0,0,0,EXCELENTE - MANTER AUTONOMIA
78,11,11,11,0,4,3,0,F,16,2.5,0,0,0,EXCELENTE - MANTER AUTONOMIA
79,8,8,10,2,1,1,1,M,17,81.3,1,0,3,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
80,5,5,5,12,2,2,1,F,16,95.9,1,1,0,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
81,10,12,12,2,1,3,1,M,15,3.8,0,0,0,EXCELENTE - MANTER AUTONOMIA
82,11,10,11,4,3,2,0,M,15,4.7,0,0,0,EXCELENTE - MANTER AUTONOMIA
83,7,6,6,10,2,1,1,F,15,88.5,1,1,0,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
84,15,15,15,4,2,3,0,M,15,0.1,0,0,0,EXCELENTE - MANTER AUTONOMIA
85,9,10,10,2,2,3,1,F,15,25.2,0,0,0,BOM - MONITORIZAÇÃO OCASIONAL
86,7,9,8,6,2,3,0,F,15,83.3,1,1,2,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
87,8,7,6,4,2,2,1,F,16,76.1,1,1,0,RUIM - PLANO DE RECUPERAÇÃO URGENTE
88,13,14,14,4,3,3,1,F,15,2.7,0,0,0,EXCELENTE - MANTER AUTONOMIA
89,11,10,10,12,2,1,0,M,16,7.7,0,0,1,EXCELENTE - MANTER AUTONOMIA
90,8,6,7,18,2,5,1,M,16,95.0,1,1,0,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
91,7,7,8,0,3,3,1,F,16,88.6,1,1,0,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
92,16,17,18,4,1,3,0,F,15,0.2,0,0,0,EXCELENTE - MANTER AUTONOMIA
93,7,6,6,4,2,3,1,F,16,94.5,1,1,0,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
94,11,10,10,0,2,1,1,F,16,39.4,0,0,0,BOM - MONITORIZAÇÃO OCASIONAL
95,11,13,14,6,4,1,1,M,15,5.4,0,0,0,EXCELENTE - MANTER AUTONOMIA
96,7,10,10,2,4,1,1,F,15,95.5,1,0,1,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
97,11,15,15,2,1,1,1,M,16,19.1,0,0,0,EXCELENTE - MANTER AUTONOMIA
98,8,9,10,2,2,1,1,F,16,62.2,1,0,0,RUIM - PLANO DE RECUPERAÇÃO URGENTE
99,11,14,14,6,1,2,0,F,16,2.0,0,0,0,EXCELENTE - MANTER AUTONOMIA
100,7,9,8,0,3,1,1,F,16,44.7,1,1,0,REGULAR - APOIO EXTRA OU TUTORIA
101,7,7,5,14,1,5,1,M,16,98.0,1,1,0,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
102,16,17,17,0,3,1,1,M,16,0.3,0,0,0,EXCELENTE - MANTER AUTONOMIA
103,10,13,14,4,1,1,1,M,15,2.1,0,0,0,EXCELENTE - MANTER AUTONOMIA
104,7,6,6,26,2,1,1,F,15,96.3,1,1,0,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
105,16,18,18,0,2,1,1,M,15,0.1,0,0,0,EXCELENTE - MANTER AUTONOMIA
106,10,11,11,10,4,1,0,F,15,10.7,0,0,0,EXCELENTE - MANTER AUTONOMIA
107,7,8,8,8,4,1,1,F,15,81.1,1,1,0,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
108,16,18,18,2,3,1,1,M,16,0.3,0,0,0,EXCELENTE - MANTER AUTONOMIA
109,10,13,13,6,4,5,1,M,15,91.9,1,0,0,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
110,14,15,16,4,3,1,1,F,16,1.1,0,0,0,EXCELENTE - MANTER AUTONOMIA
111,18,19,19,6,1,1,0,M,15,0.0,0,0,0,EXCELENTE - MANTER AUTONOMIA
112,7,10,10,0,3,1,1,F,16,93.2,1,0,1,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
113,10,13,13,6,2,1,0,F,16,16.8,0,0,1,EXCELENTE - MANTER AUTONOMIA
114,18,19,19,10,1,1,0,M,15,0.0,0,0,0,EXCELENTE - MANTER AUTONOMIA
115,9,9,9,8,2,1,0,M,15,71.5,1,1,0,RUIM - PLANO DE RECUPERAÇÃO URGENTE
116,15,15,16,2,2,2,1,M,16,1.1,0,0,0,EXCELENTE - MANTER AUTONOMIA
117,11,13,14,2,2,1,1,M,15,23.4,0,0,0,BOM - MONITORIZAÇÃO OCASIONAL
118,13,14,13,0,1,1,0,M,16,1.0,0,0,0,EXCELENTE - MANTER AUTONOMIA
119,9,7,8,20,2,4,1,M,17,95.5,1,1,1,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
120,14,13,13,6,1,2,0,M,15,3.2,0,0,0,EXCELENTE - MANTER AUTONOMIA
121,16,15,15,2,2,2,0,F,15,0.3,0,0,0,EXCELENTE - MANTER AUTONOMIA
122,16,14,15,6,4,2,1,M,15,1.1,0,0,0,EXCELENTE - MANTER AUTONOMIA
123,13,13,13,2,2,2,1,F,16,2.3,0,0,0,EXCELENTE - MANTER AUTONOMIA
124,14,11,13,18,1,4,1,M,16,8.0,0,0,0,EXCELENTE - MANTER AUTONOMIA
125,8,7,8,0,2,1,0,F,16,71.6,1,1,0,RUIM - PLANO DE RECUPERAÇÃO URGENTE
126,13,13,12,0,1,2,0,M,15,1.4,0,0,0,EXCELENTE - MANTER AUTONOMIA
127,7,10,11,0,2,1,0,F,15,13.1,0,0,0,EXCELENTE - MANTER AUTONOMIA
128,7,8,9,2,2,1,1,F,19,92.3,1,1,3,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
129,7,4,0,0,1,2,1,M,18,99.2,1,1,2,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
130,18,18,18,8,1,5,0,M,16,0.0,0,0,0,EXCELENTE - MANTER AUTONOMIA
131,12,0,0,0,3,2,1,F,15,97.7,1,1,2,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
132,8,0,0,0,1,2,1,F,15,97.3,1,1,0,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
133,10,13,12,12,1,3,1,F,17,16.7,0,0,0,EXCELENTE - MANTER AUTONOMIA
134,12,11,11,16,1,4,0,F,16,2.8,0,0,0,EXCELENTE - MANTER AUTONOMIA
135,9,0,0,0,2,1,1,M,15,98.7,1,1,0,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
136,11,0,0,0,3,1,1,F,15,96.3,1,1,0,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
137,10,0,0,0,2,4,0,M,17,90.9,1,1,0,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
138,4,0,0,0,1,1,1,F,16,99.6,1,1,2,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
139,14,12,12,0,2,3,0,M,16,5.9,0,0,1,EXCELENTE - MANTER AUTONOMIA
140,16,16,15,0,1,1,0,F,15,0.2,0,0,0,EXCELENTE - MANTER AUTONOMIA
141,7,9,0,0,4,1,1,M,15,91.9,1,1,0,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
142,9,9,9,8,1,2,1,M,16,93.3,1,1,2,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
143,9,11,11,2,3,1,1,F,15,29.4,0,0,0,BOM - MONITORIZAÇÃO OCASIONAL
144,14,14,13,2,1,3,0,F,16,0.8,0,0,0,EXCELENTE - MANTER AUTONOMIA
145,5,0,0,0,1,2,1,M,17,99.5,1,1,3,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
146,8,11,11,0,2,2,1,F,15,29.1,0,0,0,BOM - MONITORIZAÇÃO OCASIONAL
147,6,7,0,0,2,1,1,F,15,97.0,1,1,3,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
148,10,11,11,2,2,1,1,F,15,7.0,0,0,0,EXCELENTE - MANTER AUTONOMIA
149,7,6,0,0,1,1,1,M,16,98.0,1,1,0,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
150,8,9,10,0,1,5,0,M,15,10.5,0,0,3,EXCELENTE - MANTER AUTONOMIA
151,6,5,0,0,1,5,0,M,18,99.0,1,1,3,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
152,12,13,14,6,1,5,0,M,16,8.1,0,0,1,EXCELENTE - MANTER AUTONOMIA
153,10,10,10,8,3,3,1,F,15,92.4,1,0,2,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
154,5,0,0,0,1,1,1,M,19,99.8,1,1,3,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
155,11,11,12,0,1,1,1,F,17,28.3,0,0,0,BOM - MONITORIZAÇÃO OCASIONAL
156,11,8,8,2,2,1,0,M,15,65.9,1,1,0,RUIM - PLANO DE RECUPERAÇÃO URGENTE
157,16,12,13,8,1,3,0,M,17,4.5,0,0,0,EXCELENTE - MANTER AUTONOMIA
158,9,8,10,6,1,5,1,F,18,87.5,1,0,3,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
159,17,15,15,2,1,2,0,M,16,0.1,0,0,0,EXCELENTE - MANTER AUTONOMIA
160,10,12,12,4,2,4,1,M,16,13.3,0,0,1,EXCELENTE - MANTER AUTONOMIA
161,7,6,0,0,1,2,0,M,17,98.1,1,1,2,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
162,5,9,7,6,2,4,1,M,15,98.1,1,1,2,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
163,7,0,0,0,1,4,0,M,16,99.0,1,1,1,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
164,10,10,10,2,1,4,0,M,17,2.5,0,0,0,EXCELENTE - MANTER AUTONOMIA
165,5,8,7,0,2,5,0,M,17,99.8,1,1,3,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
166,12,11,12,16,1,1,1,M,16,21.8,0,0,1,BOM - MONITORIZAÇÃO OCASIONAL
167,10,10,10,4,2,4,0,M,16,11.2,0,0,0,EXCELENTE - MANTER AUTONOMIA
168,14,15,16,0,2,1,0,F,16,1.0,0,0,0,EXCELENTE - MANTER AUTONOMIA
169,6,7,0,0,2,1,1,F,16,87.8,1,1,0,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
170,14,14,14,0,2,1,1,F,16,1.5,0,0,0,EXCELENTE - MANTER AUTONOMIA
171,6,5,0,0,1,4,1,M,16,97.3,1,1,2,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
172,13,15,16,2,2,1,1,M,16,0.2,0,0,0,EXCELENTE - MANTER AUTONOMIA
173,13,11,10,0,2,3,1,M,17,8.6,0,0,0,EXCELENTE - MANTER AUTONOMIA
174,8,7,0,0,2,1,0,F,16,95.7,1,1,3,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
175,10,11,9,4,2,1,1,F,16,60.8,1,1,0,RUIM - PLANO DE RECUPERAÇÃO URGENTE
176,10,9,9,4,2,4,0,M,17,67.4,1,1,0,RUIM - PLANO DE RECUPERAÇÃO URGENTE
177,13,13,11,2,2,4,0,F,16,3.4,0,0,0,EXCELENTE - MANTER AUTONOMIA
178,6,5,6,4,2,4,0,M,17,93.6,1,1,0,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
179,10,8,9,10,1,4,1,M,16,94.1,1,1,0,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
180,10,10,11,4,2,1,1,M,17,52.5,1,0,0,REGULAR - APOIO EXTRA OU TUTORIA
181,9,8,8,10,2,3,1,M,16,82.0,1,1,0,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
182,12,13,12,2,2,2,0,M,16,0.9,0,0,0,EXCELENTE - MANTER AUTONOMIA
183,16,17,17,0,2,3,1,F,17,0.5,0,0,0,EXCELENTE - MANTER AUTONOMIA
184,9,9,8,56,2,3,1,F,17,71.2,1,1,0,RUIM - PLANO DE RECUPERAÇÃO URGENTE
185,12,13,12,14,2,2,1,F,16,11.1,0,0,0,EXCELENTE - MANTER AUTONOMIA
186,12,12,11,12,2,3,1,M,17,17.4,0,0,0,EXCELENTE - MANTER AUTONOMIA
187,11,12,11,2,1,2,1,M,16,3.1,0,0,0,EXCELENTE - MANTER AUTONOMIA
188,15,15,15,0,2,2,0,M,16,0.2,0,0,0,EXCELENTE - MANTER AUTONOMIA
189,8,7,9,6,2,3,1,F,17,83.2,1,1,0,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
190,8,9,10,4,2,5,0,M,17,42.9,1,0,0,REGULAR - APOIO EXTRA OU TUTORIA
191,11,12,13,10,2,1,0,F,16,10.9,0,0,0,EXCELENTE - MANTER AUTONOMIA
192,8,8,9,0,2,1,0,F,17,77.3,1,1,0,RUIM - PLANO DE RECUPERAÇÃO URGENTE
193,7,8,8,12,2,5,0,M,17,97.6,1,1,0,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
194,8,9,10,8,1,4,1,M,16,93.0,1,0,0,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
195,13,14,14,0,1,1,0,M,16,1.1,0,0,0,EXCELENTE - MANTER AUTONOMIA
196,14,15,15,0,2,1,0,F,17,0.5,0,0,0,EXCELENTE - MANTER AUTONOMIA
197,17,15,16,4,1,2,0,M,17,0.2,0,0,0,EXCELENTE - MANTER AUTONOMIA
198,9,9,10,8,1,5,1,M,16,87.7,1,0,0,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
199,18,18,18,24,1,3,1,F,17,0.5,0,0,1,EXCELENTE - MANTER AUTONOMIA
200,9,9,10,0,2,2,1,F,16,14.1,0,0,0,EXCELENTE - MANTER AUTONOMIA
201,16,16,16,2,2,5,1,F,16,0.6,0,0,0,EXCELENTE - MANTER AUTONOMIA
202,8,10,10,6,2,3,1,F,16,66.8,1,0,0,RUIM - PLANO DE RECUPERAÇÃO URGENTE
203,9,9,10,4,2,3,1,F,17,29.8,0,0,0,BOM - MONITORIZAÇÃO OCASIONAL
204,7,6,6,18,1,2,1,F,17,94.1,1,1,0,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
205,10,10,11,6,4,1,1,F,16,42.1,1,0,0,REGULAR - APOIO EXTRA OU TUTORIA
206,10,9,9,28,3,4,1,F,17,84.7,1,1,1,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
207,7,7,7,5,2,2,1,F,16,86.1,1,1,3,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
208,11,12,13,10,2,1,0,F,16,14.5,0,0,0,EXCELENTE - MANTER AUTONOMIA
209,9,9,10,6,1,4,1,F,16,29.9,0,0,0,BOM - MONITORIZAÇÃO OCASIONAL
210,7,7,7,6,3,1,1,F,17,96.5,1,1,0,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
211,8,8,8,10,4,2,1,F,19,87.2,1,1,0,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
212,12,12,13,13,2,5,1,M,17,0.9,0,0,0,EXCELENTE - MANTER AUTONOMIA
213,12,13,14,0,2,1,1,F,16,8.1,0,0,0,EXCELENTE - MANTER AUTONOMIA
214,6,7,8,15,2,4,1,M,18,96.7,1,1,1,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
215,8,10,10,12,1,2,1,F,17,9.4,0,0,0,EXCELENTE - MANTER AUTONOMIA
216,14,15,15,2,2,3,0,F,17,0.5,0,0,0,EXCELENTE - MANTER AUTONOMIA
217,6,6,4,22,2,4,0,F,17,99.1,1,1,2,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
218,6,6,8,13,2,4,1,M,18,97.0,1,1,1,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
219,7,7,8,3,1,4,1,F,17,73.3,1,1,0,RUIM - PLANO DE RECUPERAÇÃO URGENTE
220,9,10,10,4,3,1,1,F,17,29.9,0,0,0,BOM - MONITORIZAÇÃO OCASIONAL
221,6,6,6,2,2,2,1,F,17,97.5,1,1,0,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
222,6,5,0,0,3,1,1,F,17,98.1,1,1,1,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
223,16,16,17,2,2,1,0,F,16,1.0,0,0,0,EXCELENTE - MANTER AUTONOMIA
224,12,13,13,0,2,5,1,M,18,7.2,0,0,0,EXCELENTE - MANTER AUTONOMIA
225,13,13,14,0,3,1,1,F,16,1.5,0,0,0,EXCELENTE - MANTER AUTONOMIA
226,9,8,7,16,2,1,0,F,18,93.5,1,1,1,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
227,16,15,15,10,2,3,0,F,17,0.4,0,0,0,EXCELENTE - MANTER AUTONOMIA
228,12,11,12,2,2,3,1,M,17,1.2,0,0,0,EXCELENTE - MANTER AUTONOMIA
229,10,8,9,14,2,5,1,M,18,97.2,1,1,0,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
230,12,10,12,10,3,2,0,F,17,6.6,0,0,0,EXCELENTE - MANTER AUTONOMIA
231,13,13,14,14,2,2,0,F,17,3.1,0,0,0,EXCELENTE - MANTER AUTONOMIA
232,11,11,11,4,2,1,1,M,17,9.1,0,0,0,EXCELENTE - MANTER AUTONOMIA
233,11,9,9,14,2,3,1,M,17,89.4,1,1,0,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
234,14,13,13,2,2,4,1,M,16,1.5,0,0,0,EXCELENTE - MANTER AUTONOMIA
235,9,7,6,18,2,1,1,M,16,80.0,1,1,0,RUIM - PLANO DE RECUPERAÇÃO URGENTE
236,11,9,10,10,3,3,0,M,16,27.4,0,0,0,BOM - MONITORIZAÇÃO OCASIONAL
237,14,13,13,4,2,5,0,M,17,0.1,0,0,0,EXCELENTE - MANTER AUTONOMIA
238,13,12,12,20,1,1,0,F,16,5.7,0,0,0,EXCELENTE - MANTER AUTONOMIA
239,13,11,11,2,2,1,0,F,17,33.0,0,0,0,BOM - MONITORIZAÇÃO OCASIONAL
240,7,7,0,0,2,5,0,M,18,80.8,1,1,1,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
241,12,12,12,14,2,4,0,M,17,19.1,0,0,0,EXCELENTE - MANTER AUTONOMIA
242,10,11,12,2,2,3,1,M,17,5.7,0,0,0,EXCELENTE - MANTER AUTONOMIA
243,6,0,0,0,1,1,0,M,16,97.9,1,1,0,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
244,13,12,12,0,1,2,0,M,16,1.6,0,0,0,EXCELENTE - MANTER AUTONOMIA
245,7,0,0,0,3,1,1,F,18,98.5,1,1,0,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
246,18,18,18,6,1,1,0,M,16,0.1,0,0,0,EXCELENTE - MANTER AUTONOMIA
247,12,12,13,4,1,1,0,M,17,1.7,0,0,0,EXCELENTE - MANTER AUTONOMIA
248,6,8,8,16,1,5,0,M,22,99.6,1,1,3,CRITICO - INTERVENÇÃO PEDAGOGICA PROFUNDA
